author,scope,landed,planning,positive,negative,themes,price_pct,workloads
mouazaljamil2276,ENT,Nutanix,,Nutanix,,,,20000
Themanthatisi,ENT,Nutanix,,Nutanix,,never_going_back,,400
captchacaptcha,ENT,Nutanix|Proxmox,,,Nutanix,hybrid_landing|tiered_infra|hardware_price_crisis|nutanix_hcl_rigid|mandated_exit|emotional_c_level,,10000
an80skid71,MID,Nutanix,,Nutanix,VMware,cease_and_desist|perpetual_license_attack,,
olafall_sweden,ENT,Nutanix|Proxmox,,Proxmox|Nutanix,,hybrid_landing|automation_ansible,,
athrvanaik5036,ENT,Nutanix|OpenShift|KVM,,,,hybrid_landing,,1400
bdbgh,MID,Nutanix,,Nutanix,,hardware_refresh_trigger|vendor_helped_migrate,,
csdibiase,ENT,Nutanix|Scale Computing,,Nutanix|Scale Computing,,hybrid_landing,,
markmanderson,ENT,Nutanix,,Nutanix,,never_going_back|cost_savings_realized,,
MaxPower-11,ENT,Nutanix,,Nutanix,,cost_savings_realized|already_nutanix_hardware,,
Redyear20,UNK,Nutanix,,Nutanix,,,,
SnaTeamCamosun,EDU,Nutanix|Hyper-V,,,,hybrid_landing|windows_shop,,
johnroberts86,ENT,Nutanix,,,,left_before_broadcom|tesco_lawsuit,,
coreyman00,ENT,Nutanix|VMware|Proxmox,Proxmox,Proxmox,,hybrid_landing,,
SteveGould-x2r,ENT,Nutanix,,Nutanix,,cost_savings_realized|disputes_video_pricing,,
maxgaming8848,ENT,Nutanix,,Nutanix,,,,
ChapmanCentral,ENT,,Nutanix|OpenShift|Azure Local,,,hypervisor_neutral|hybrid_landing,,
ddsm28,MID,,Nutanix,,,hardware_supply_delay,,
corporal381,ENT,,Nutanix,Nutanix,,nutanix_backlog,,
DS-pk4eh,ENT,Hyper-V,,,,,,1500
AlistairMaxwell77,ENT,Hyper-V,,Hyper-V,,government|ms_committed_non_azure,,1000
kamlshun,ENT,Hyper-V,,,,windows_shop|price_shock|forced_exit,,1000
jeffspaulding9834,ENT,Hyper-V,,,,contract_cliff|vmware_becomes_legacy,,200
PhelanPKell,ENT,Hyper-V,,,,price_shock|migration_accelerating,,
WhyMustThisBeSoLong,MID,Hyper-V,Proxmox|XCP-ng,,,already_paid_for|hardware_refresh_trigger|one_cycle_only,400,
JD-Dallas65,MID,Hyper-V,,Hyper-V,VMware,price_shock,200,
patodm,CONSULT,Hyper-V,,Hyper-V,,windows_shop|cost_minimization,,
chuck2501,EDU,Hyper-V,,Hyper-V,,already_paid_for,,
michaelyoungsusernam,UNK,Hyper-V,,Hyper-V,Hyper-V,feature_regret,,
randable2006,ENT,Hyper-V|Azure Local,,Hyper-V,,already_paid_for|windows_shop,,
kabookeo,CONSULT,Hyper-V,,,,,,
USSJeff,MID,Hyper-V,,Hyper-V,,good_enough|price_was_right,,
ed-lee321,UNK,Hyper-V,,Hyper-V,Hyper-V,already_paid_for|ram_usage_gap,,
Technospyder1,UNK,Hyper-V|XCP-ng,,Hyper-V|XCP-ng,,hybrid_landing,,
jancg1972,MID,Hyper-V,,,,windows_shop|left_before_broadcom,,
ghostofdre,UNK,Hyper-V,,,,windows_shop,,
BRuserOsaka,UNK,Hyper-V,,Hyper-V,,s2d_hci,,
sainteyegor,ENT,Hyper-V,,,,never_going_back,,
M3PH11,UNK,Hyper-V|KVM,,,,hybrid_landing,,
BotraxDiaz,CONSULT,Hyper-V,,,,already_paid_for,,
jasonjohnston857,UNK,Hyper-V,,,,,,
CSL_01,UNK,,,Hyper-V,,,,
lumarel,MID,Hyper-V,,Proxmox,,isv_support_dictates|proxmox_exceeded_expectations,,
rahallde,ENT,Hyper-V,,,,windows_shop|isv_support_dictates|hyperv_no_cloud_needed,,
avanvanvanvan,ENT,Hyper-V|Proxmox,,,,containers_first|shadow_it_proxmox|legal_drove_choice|hybrid_landing,,
here-sometimes-over-there-too,UNK,Hyper-V|Containers,,,VMware,hardware_requirements_gap,,
Braddeman,MID,Hyper-V,,Hyper-V,,already_paid_for|backup_integration,,
50PullUps,UNK,,,Hyper-V,,airgap_usecase|disputes_video_azure_claim,,
greggdaly967,ENT,XCP-ng,,XCP-ng,,never_going_back|homelab_matches_work,,
azzagarage1784,MID,XCP-ng,,XCP-ng,,,,
c0rnd0g_19,MID,XCP-ng,,XCP-ng,,it_just_works,,
truckerallikatuk,HOME,XCP-ng,,XCP-ng|Proxmox,,horses_for_courses,,
justjava22,MID,XCP-ng,,XCP-ng,,,,
Hendroolis,MID,XCP-ng,,,,,,
whywouldiwantahandle,UNK,XCP-ng,,XCP-ng,,wanted_more_coverage,,
gatolibero8329,UNK,XCP-ng|KVM,,XCP-ng|KVM,,near_1to1_replacement,,
Anonymous______________,ENT,Proxmox|XCP-ng,,Proxmox|XCP-ng,,vdi_gap,,
crazyhick5472,MID,XCP-ng|Proxmox,,XCP-ng|Proxmox,,horses_for_courses,,
iSkyLiTz,UNK,XCP-ng|Proxmox,,,,horses_for_courses,,
juanluv305,UNK,,,XCP-ng,,,,
talbech,MID,XCP-ng,,XCP-ng,Proxmox,iscsi_gap_proxmox,,
WawawonderWhere,HOME,XCP-ng,,XCP-ng|OpenStack,,openstack_not_that_hard,,
PanduPoluan,UNK,,,XCP-ng,,xen_revival,,
weirdscience-o1i,UNK,,XCP-ng,XCP-ng,,kernel_age_gap,,
monkeyofspice,ENT,,VergeOS,,Azure Local|XCP-ng|HPE Morpheus,nsx_replacement_gap,,
DrRChandra,MID,oVirt,XCP-ng,,,no_license_budget,,
downundarob,UNK,,,,XCP-ng,disk_resize_gap,,
nponeccop,UNK,,,,XCP-ng,memory_overcommit_gap,,
izeatech,UNK,,,,XCP-ng|SUSE Harvester,,,
dyeffsondorsaint6149,UNK,,,,XCP-ng,kernel_age_gap,,
kataklysm812,ENT,OpenShift,,,,price_shock,,2000
gearmessiah438,ENT,OpenShift,,OpenShift,,k8s_skills_mandate|learning_curve,,
luzkenin,ENT,OpenShift,,OpenShift,,,,
edanbrooke3335,ENT,OpenShift,,OpenShift,,learning_curve,,
Teo-Onay,UNK,OpenShift,,OpenShift,,,,
metamorphic75,ENT,OpenShift,,OpenShift,,virt_is_commodity|k8s_skills_mandate|xen_revival,,
zyghom,ENT,OpenShift,,,,slow_migration_5yr,,
TheX-3d,MID,VMware,OpenShift,,VMware,vvf_vcf_bundling|price_shock,,
ClydeBickford,CONSULT,,OpenShift,OpenShift,,contract_cliff|vmware_champion_defector,,
akostadinov,UNK,,,OpenShift,,open_source_or_nothing,,
randybias2177,CONSULT,,,,OpenShift,redhat_is_new_lockin,,
Jonathan1234000,UNK,,,KubeVirt,,redhat_is_new_lockin,,
Str34mR,UNK,,,OpenShift,,k8s_not_lockin,,
SimpleLogic001,UNK,,,,,redhat_is_new_lockin|disputes_video_framing,,
yabadabadobedoo,UNK,,,Containers,,containers_first,,
kspfan001,UNK,,,Containers,,containers_first,,
steveberry5735,UNK,,,,,containers_first|why_vms_at_all,,
Kirkster131,CONSULT,KVM,,KVM,,multi_hypervisor_reality|isv_support_burden,,
markdownsouth1500,ENT,KVM,,KVM,VMware,price_shock|perpetual_license_holdout|linux_shop,479,
censoredeveryday3320,UNK,KVM,,KVM,OpenStack,,,
springerstation,ENT,KVM,,,,,,
Street.Freak.Patrol,ENT,KVM,,KVM,,free_matters,,
viktorporoshyn3148,UNK,KVM,,KVM,,,,
hamkaasburger6142,HOME,KVM,,KVM,,free_matters,,
nrapopor,UNK,KVM,,KVM,,,,
cbbcbb6803,UNK,KVM,,KVM,,,,
christoesh8901,UNK,,,KVM,,,,
bitferret-rx5rn,HOME,KVM,,KVM,,,,
KenKennedy01,UNK,Bare metal,,,,,,
ricktroth1947,HOME,KVM,,KVM,,arch_diversity_arm_power,,
harryrcarmichael,ENT,Nutanix|KVM,,Nutanix|KVM,Oracle,kvm_is_real_winner|oracle_licensing_trap,,
Draggeta,MID,CloudStack|KVM,,KVM,,never_considered_vmware,,
TheBuddyCassius,UNK,,,KVM,,build_it_yourself,,
b5fie,UNK,,,KVM,,gap_kvm_coverage,,
dansanger5340,UNK,,,,,gap_kvm_coverage,,
tropotek,UNK,,,,KVM,nvidia_gpu_gap,,
ramsn1971,UNK,,,,KVM,rhel_support_gaps|skills_gap_retooling,,
jamespfearn4326,ENT,Cloud/GCP,,,,went_to_cloud,,10000
VikingDeveloper,ENT,Azure Local,,,,cloud_first|digital_sovereignty,,1000
TDub_ADV,ENT,Cloud/Azure,,,,went_to_cloud|zerto_migration,,
degreen1788,ENT,Cloud/Azure,,,,went_to_cloud,,
samflory,CONSULT,Cloud/AWS,,,,went_to_cloud|k8s_skills_mandate|vmware_priced_above_aws,,
blogauthor3375,EDU,Cloud/GCP,,,,went_to_cloud,,
Gkid8,ENT,Cloud/Azure,,,,went_to_cloud,,
not-mike,EDU,Azure Local,,Azure Local,,windows_shop|migration_was_easy,,
masterquan4891,ENT,Azure Local,,Azure Local,VMware,price_shock|would_have_preferred_oss,,
Magicrat39,ENT,Azure Local,,,,grief_for_vmware,,
OmniCipher67,UNK,,,Azure Local,,disputes_video_azure_claim|disconnected_variant,,
LeumasLSNTV,UNK,,,Azure Local|Proxmox,,disputes_video_azure_claim|digital_sovereignty,,
Apollo49152,MID,,SaaS,,,went_to_cloud,,
rni302,UNK,,,,,went_to_cloud|short_staffed_cant_learn,,
mata2723,UNK,,,,,went_to_cloud|bare_metal_return,,
jasonme3557,CONSULT,,,,,cloud_repatriation,,
mrwonk,UNK,,,,Cloud/AWS,cloud_repatriation,,
amir-jg4zy,ENT,,,,Cloud/AWS,cloud_repatriation|hardware_price_crisis,,
nothingtosee7718,UNK,,,Cloud/AWS,,went_to_cloud,,
crapphone7744,UNK,,,,Cloud/Azure,cloud_repatriation,,
Potzii85,CONSULT,HPE Morpheus,,,,price_shock|forced_exit|msp_moving_all_clients,900,
aelaan12,CONSULT,HPE Morpheus|Cloud/other,,,,msp_moving_all_clients|smb_abandonment,,
papa4eric,UNK,,,HPE Morpheus,,underrated|platform_agnostic,,
spekhans,ENT,,HPE Morpheus,,,stretched_clustering_gap,,
gunprats8789,UNK,,,HPE Morpheus,,,,
Recoiler45,UNK,,Nutanix|VergeOS|HPE Morpheus,,,,,
BloodyEpicG4m3rZ,ENT,,HPE Morpheus,,,hpe_free_hardware_bribe,,
sergeantmajorzero7482,MID,VMware,HPE Morpheus|Proxmox,,,backup_vendor_support_matters,,
Daern42,MID,,,,HPE Morpheus,hpe_aggressive_sales|unimpressed,,
LimeasaurusRex,UNK,,,,HPE Morpheus,hpe_support_bad,,
dtoux,UNK,,,,HPE Morpheus,hpe_is_next_lockin,,
snarkywombat155,UNK,,,,HPE Morpheus,hpe_financial_risk,,
rijojohn85,CONSULT,OpenStack,,OpenStack,,migration_business_boom,,10000
TheJensss,ENT,OpenStack,,OpenStack,VMware|Cloud/AWS,digital_sovereignty|cloud_repatriation|open_source_or_nothing|hardware_price_crisis|never_single_vendor,,
oysteivi,EDU,OpenStack,,,,migration_in_flight,,
williamyf,UNK,,,OpenStack,,openstack_not_that_hard|non_us_alternative,,
linuxpython935,UNK,,,OpenStack,,vmotion_rebuttal,,
luqmanhamdan9285,UNK,,,OpenStack,,migration_tooling_matters,,
PeterT_Prime,UNK,,,,OpenStack,not_enterprise_ready,,
MikeHinsley,CONSULT,CloudStack,,CloudStack|KVM,,open_source_or_nothing,,
datacenterdude,CONSULT,,,CloudStack,,gap_cloudstack,,
LampJustin,UNK,,,CloudStack,,lower_mental_overhead,,
oVirtPH,UNK,,,CloudStack|OpenNebula,,gap_cloudstack,,
paulsander5433,UNK,,,,,gap_cloudstack,,
theLaminator88,ENT,OLVM,,,OLVM,oracle_licensing_trap,,3000
tech-daddy,ENT,OLVM,,,,price_shock,,1500
rosskingii,UNK,,,,,gap_oracle_kvm,,
oraclebigdave,UNK,,,,,gap_oracle_kvm,,
JeffBurns,UNK,,,oVirt,,gap_ovirt,,
stevenrice47,UNK,,,,,gap_ovirt,,
francomagliaro5406,UNK,,,,,gap_ovirt,,
gtoger,MID,Incus,,Incus,,niche_players|vmotion_gap,,
markamber1480,UNK,,,Incus,,underrated,,
evilspoon6833,UNK,,,Incus,,,,
juanluv305_2,UNK,,,Incus,,gap_incus,,
hkexplore2678,UNK,,,,,gap_incus,,
koma-k,MID,,MicroCloud,,,skills_gap_retooling,,
VolkerHett,UNK,SUSE Harvester,,SUSE Harvester,,gap_suse,,
docpify,UNK,,,SUSE Harvester,,,,
davidanderson1005,ENT,SUSE Harvester,,SUSE Harvester,,production_stable,,
Dyrgrip,UNK,,,,,gap_suse,,
derodge,ENT,SUSE Harvester,,,,gap_suse,,
sasquatch989,UNK,,,,,gap_suse|govt_approved_list,,
ahmedlaimouna9406,UNK,,,,,gap_suse,,
MikeU128,ENT,,,,SUSE Harvester,gap_suse,,
harrylumsdon6773,MID,Scale Computing,,Scale Computing,,,,
kennethmullins4938,MID,Scale Computing,,,,,,
davegrootwassink5191,MID,VergeOS,,VergeOS,,greenfield,,
enielsondasilva4964,UNK,,,,,gap_stormagic,,
nonowayjose9159,UNK,,,Pacemaker,Nutanix,nutanix_patching_bad,,
MelvinWong78,UNK,,,IBM LinuxONE,,gap_other,,
kylefox8822,HOME,TrueNAS/KVM,,,,,,
xcalybur75,UNK,,,,,gap_truenas,,
Mamph0za,ENT,Huawei FusionCompute,,,,non_us_alternative|digital_sovereignty,,
g.s.3389,CONSULT,,,Sangfor|Huawei FusionCompute|H3C|Hyper-V,,rest_of_world_ignored|non_us_alternative,,
waynemaman7418,UNK,,,,,gap_h3c|non_us_alternative,,
aminnabiyev8029,UNK,,,,,gap_sangfor,,
innocentlll,UNK,,,,,gap_sangfor,,
khushibhatter817,UNK,,,Sangfor,,competition_is_good|gap_sangfor,,
barfnelson5967,UNK,,,Proxmox,,digital_sovereignty,,
ferd352,UNK,,,Proxmox,,digital_sovereignty,,
NighthunterNyx,UNK,,,Proxmox,,digital_sovereignty,,
zyghom_2,UNK,,,,,digital_sovereignty,,
LeumasLSNTV_2,UNK,,,Proxmox,,digital_sovereignty,,
keposoffentlich3326,UNK,,,,,digital_sovereignty,,
LiviuPavel,UNK,,,,,digital_sovereignty|no_new_customers,,
eternalelysium77,ENT,VMware,,VMware,,full_vcf_stack_no_equivalent|stayed,,
jamespfearn4326_2,ENT,VMware,,VMware,,full_vcf_stack_no_equivalent|stayed,,
jeffnew1213,ENT,VMware,,,,stayed|vdi_omnissa,,
nacho71ar,UNK,VMware,,VMware,Proxmox|Hyper-V,stayed|esxi_free_again,,
Mzansi74,ENT,VMware,,,,stayed|no_enterprise_equivalent,,
JohnDoe95876,ENT,VMware,,,,stayed|no_enterprise_equivalent,,
TheCynysterMind,MID,VMware,,,,stayed|only_15pct_increase,15,
Johnny87Au,UNK,,,VMware,,stayed|smb_abandonment,,
Banzai51,ENT,VMware,,,,stayed|internal_politics_scuttled_move,,
basdfgwe,ENT,VMware,,,,stayed|renewed_reasonable_deal,,
FranckEhret,ENT,VMware,Proxmox,,,stayed|sap_cisco_dependency|legacy_san_blocks_nutanix,,1500
PatrickBaptist,ENT,VMware,,,,stayed,,
coladict,ENT,VMware,,,VMware,stayed|wayland_gap,,
njineermike,UNK,VMware,,,,perpetual_license_holdout,,
toby9999,HOME,VMware,,VMware,VirtualBox,stayed,,
setoman1,HOME,VMware,,VMware,,workstation_still_good,,
WineWorldTV,HOME,VMware,,,VMware,workstation_still_good|website_confusing,,
EdgeDC,UNK,,,VMware,,workstation_free_silver_lining,,
ChurchOfTheHolyMho,HOME,VMware,,,,unaware_of_story,,
fdsa3f3cas3w,ENT,VMware,,,,migrated_TO_vmware,,
pointandshootvideo,UNK,,,VMware,,no_substitute_for_vmware,,
dmustakasjr,UNK,,,,,stayed|86pct_still_there,,
sprecklesville,UNK,,,,,contrarian_broadcom_defense|vcf_rnd_investment,,
jj210-g8r,UNK,,,,,contrarian_broadcom_defense|disputes_video_framing,,
stefanguels,UNK,,,,,contrarian_broadcom_defense,,
gregb6546,UNK,,,,,vmware_was_already_bad,,
kspfan001_2,UNK,,,,,vmware_was_already_bad,,
simplemechanics246,UNK,,,,,core_count_pricing_predates_broadcom,,
tccoggs,UNK,,,,VMware,vcf9_bloated,,
karihardarson1234,UNK,,,,,disputes_video_framing,,
LaserFur,HOME,Bare metal,,,,workstation_refugee|gpu_3d_gap,,
dougjohnson4266,HOME,VirtualBox,,,,workstation_refugee,,
pakviroti3616,HOME,,,,VMware,workstation_refugee,,
nicoheinze7984,HOME,,undecided,,,workstation_refugee,,
delscoville,HOME,,undecided,,,workstation_refugee,,
MarzioBonfantiStanziola,HOME,,,,,workstation_refugee|individuals_ignored,,
thelastime51,HOME,MS Virtual PC,,,,workstation_refugee|retro_usecase,,
trojnara,CONSULT,VirtualBox,,,,retro_usecase|gap_virtualbox,,
candid244,HOME,VirtualBox,,,,retro_usecase,,
ronyarmon210,HOME,VirtualBox,Hyper-V,,,individuals_ignored,,
TheGuruStud,HOME,VirtualBox,,,,,,
Kenbomp,UNK,,,,,gap_virtualbox,,
flylord42,UNK,,,,,gap_virtualbox,,
hostetler125,HOME,UTM,,UTM,,workstation_refugee,,
petelongrs,UNK,,,UTM,,,,
BillBaran,HOME,VMware,,,VMware,website_confusing|workstation_refugee,,
rchltmedia,UNK,,,,,workstation_free_is_bait,,
mikeunum,HOME,,,,VMware,workstation_refugee|linux_performance_regression,,
annoyingspore,HOME,VMware,,,,workstation_still_good,,
pe-msee,HOME,Bare metal,,,,retro_usecase,,
keithconti6057,HOME,,,,,piracy,,
thebaron222,UNK,,,,,humor,,
tteegarden,ENT,,undecided,,VMware,paying_for_nothing|contract_cliff,,200
enterpris-AR,ENT,,undecided,,VMware,mandated_exit|contract_cliff,,
bones549,ENT,,undecided,,,mandated_exit|worse_than_oracle,,
sean-sk,ENT,,undecided,,,migration_in_flight|isv_support_dictates,,
Bigtbone205,ENT,,undecided,,,migration_complete|cost_millions,,
Cognitive_Code_AI,MID,,undecided,,,migration_in_flight|ai_accelerated_migration,,
BrendenBrecheen,MID,,undecided,,,didnt_renew,,
markb3146,UNK,,undecided,,,didnt_renew,,
rob19712142,UNK,,undecided,,,didnt_renew,,
digitalz1988,MID,,Proxmox,,,will_advise_against_vmware,,100
KR-fy3ls,MID,,Proxmox,,,,,
KW-gs2gp,UNK,,Proxmox,,,nonprod_first,,
brandonvereyken4869,UNK,,Proxmox,,,comment_influenced_decision,,
calvin_thefreak,HOME,,Proxmox,,,,,
rgibson69,UNK,,Proxmox,,,skills_gap_retooling,,
DanielW-PSL,MID,,Proxmox|Hyper-V,,,windows_shop,,
JP-iq7pu,MID,,Hyper-V,,,hyperv_support_vendor_gap,,
thom9364,MID,,,,VMware,forced_exit|distributor_ghosting,,
Raima888s,UNK,,,,,migration_in_flight|contract_cliff,,
mikes_.5_cent,UNK,,,,,contract_cliff,,
retinaquester,UNK,,,,,bridge_renewal|bought_time,,
mikec5309,MID,,,,,bridge_renewal|vvf_vcf_bundling|drop_dead_date,,
KAPTKipper,UNK,,,,,bridge_renewal|contract_cliff,,
MarkKnights,MID,VMware,undecided,,VMware,price_shock|bridge_renewal,300,
iamagi,ENT,,,,,multi_site_hard,,
mytinu,UNK,,,,,big_orgs_need_time,,
timduncan6750,ENT,,,,,big_orgs_need_time,,
nen.3269,UNK,,,,,big_orgs_need_time|contract_cliff,,
Burmn,ENT,,,,,isv_support_dictates|healthcare_constraint,,
kstark321,CONSULT,,,,,migration_business_boom,,
mikeyfoofoo,MID,,,,VMware,price_shock|cease_and_desist,740,
Dfk429S9fo3,MID,,,,VMware,price_shock|smb_abandonment,5400,
oltep,MID,,,,VMware,price_shock|long_time_customer_betrayed,317,
jonathanbuzzard1376,EDU,Proxmox,,Proxmox,VMware,price_shock|migration_pays_for_itself|hpc,567,
cmaurand1,UNK,,,,,price_shock,,
jdv9402,UNK,,,,,96_core_minimum,,
aarond3661,UNK,,,,,contract_cliff|broadcom_short_term,,
kirksteinklauber260,UNK,,,,,contract_cliff|broadcom_short_term,,
jameslucas583,UNK,,,,,contract_cliff|broadcom_short_term,,
Agnemons,UNK,,,,,contract_cliff|broadcom_short_term,,
j.w.u.5728,UNK,,,,,contract_cliff|broadcom_short_term,,
guysauve,UNK,,,,,contract_cliff|broadcom_short_term,,
xConundrumx,UNK,,,,,contract_cliff|broadcom_short_term,,
SiiliViin,UNK,,,,,contract_cliff|broadcom_short_term,,
Darkk6969,UNK,,,,,contract_cliff|broadcom_short_term,,
PrimalNaCl,UNK,,,,,contract_cliff|broadcom_short_term,,
CraigZeigler-o2n,UNK,,,,,contract_cliff|broadcom_short_term,,
TooBarFoo,UNK,,,,,contract_cliff|broadcom_short_term,,
sweh,UNK,,,,,contract_cliff|broadcom_short_term,,
ChrisTopher-wl6pd,UNK,,,,,contract_cliff|broadcom_short_term,,
paperscorpion,UNK,,,,,contract_cliff|broadcom_short_term,,
ivanmaglica264,UNK,,,,,contract_cliff|broadcom_short_term,,
sawo1337,UNK,,,,,contract_cliff|broadcom_short_term,,
kmarei13,UNK,,,,,contract_cliff|broadcom_short_term,,
markpirola8152,UNK,,,,,contract_cliff|broadcom_short_term,,
Car_Mo,UNK,,,,,contract_cliff|broadcom_short_term,,
TimeRestored,UNK,,,,,contract_cliff|broadcom_short_term,,
roberthealey7238,UNK,,,,,contract_cliff|broadcom_short_term,,
Vvvrrrmmm,UNK,,,,,contract_cliff|broadcom_short_term,,
Paultimate7,UNK,,,,,contract_cliff|broadcom_short_term,,
simo47768,UNK,,,,,contract_cliff|broadcom_short_term,,
jonstirling916,UNK,,,,,contract_cliff|broadcom_short_term,,
samnert1971,UNK,,,,,contract_cliff|broadcom_short_term,,
isaicicourel,UNK,,,,,contract_cliff|broadcom_short_term,,
karlfife,UNK,,,,,contract_cliff|broadcom_short_term,,
MarkChen-m4y4q,UNK,,,,,contract_cliff|broadcom_short_term,,
shockwave77598,UNK,,,,,contract_cliff|broadcom_short_term,,
RalfP-v3s,UNK,,,,,contract_cliff|broadcom_short_term,,
dwainsims3065,UNK,,,,,contract_cliff|broadcom_short_term,,
lucky64444,UNK,,,,,contract_cliff|broadcom_short_term,,
tomhollins5303,UNK,,,,,contract_cliff|broadcom_short_term,,
guidichris,UNK,,,,,contract_cliff|broadcom_short_term,,
donaldpratt6701,UNK,,,,,contract_cliff|broadcom_short_term,,
edac1407,UNK,,,,,contract_cliff|broadcom_short_term,,
gregchristopher2638,UNK,,,,,contract_cliff|broadcom_short_term,,
rgen28,UNK,,,,,contract_cliff|broadcom_short_term,,
Mzansi74_2,UNK,,,,,contract_cliff|broadcom_short_term,,
LoneWolf-wp9dn,UNK,,,,,contract_cliff|broadcom_short_term,,
Gonzo-n7u4v,UNK,,,,,broadcom_playbook,,
davehilling3944,UNK,,,,,broadcom_playbook,,
k.chriscaldwell4141,UNK,,,,,broadcom_playbook,,
paulvilarino2795,UNK,,,,,broadcom_playbook,,
ledarmband,UNK,,,,,broadcom_playbook,,
DysfunctionalParrot,UNK,,,,,broadcom_playbook,,
lance31415,UNK,,,,,broadcom_playbook,,
Ughmahedhurtz,UNK,,,,,broadcom_playbook,,
Joex51x,UNK,,,,,broadcom_playbook,,
samflory_2,UNK,,,,,broadcom_playbook,,
stevennicholas5472,UNK,,,,,broadcom_playbook,,
crackheadmatt,UNK,,,,,broadcom_playbook,,
rfrancoi,UNK,,,,,nostalgia_grief,,
massimo79mmm,UNK,,,,,nostalgia_grief,,
rer9287,UNK,,,,,nostalgia_grief,,
Shineylake,UNK,,,,,nostalgia_grief,,
celestialnubian,UNK,,,,,nostalgia_grief,,
tipeon,UNK,,,,,nostalgia_grief,,
zoltannemeth8864,UNK,,,,,nostalgia_grief,,
PatrickBaptist_2,UNK,,,,,nostalgia_grief,,
Tranquillow2,UNK,,,,,nostalgia_grief,,
vkvo2000,UNK,,,,,nostalgia_grief,,
mdbrenna,UNK,,,,,nostalgia_grief,,
terryevans1976,UNK,,,,,nostalgia_grief,,
njineermike_2,UNK,,,,,nostalgia_grief,,
PXAbstraction,UNK,,,,,nostalgia_grief,,
xConundrumx_2,UNK,,,,,nostalgia_grief,,
itguy8317,UNK,,,,,nostalgia_grief,,
knoitall12,UNK,,,,,nostalgia_grief,,
SeanHollingsworth,UNK,,,,,nostalgia_grief,,
jmd1743,UNK,,,,,nostalgia_grief,,
carlschumacher5510,UNK,,,,,nostalgia_grief,,
jeffspaulding9834_2,UNK,,,,,nostalgia_grief,,
